Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
17;infrastructure;FPTU_Guest;00:27:E3:4D:BB:B4;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:30 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
18;infrastructure;FPTU_Guest;E8:ED:F3:EA:44:F4;;6;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
19;infrastructure;FPT_University;E8:ED:F3:EA:44:F0;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
20;infrastructure;HUAWEI P20 Pro;DC:72:9B:87:BA:D4;;6;No;WPA2,AES-CCM;No;54.0;0;2;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
21;infrastructure;FUG_Staffs;E8:ED:F3:EA:44:F3;;6;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:21:00 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
22;infrastructure;FPTU_Laboratory;E8:ED:F3:EA:44:F5;;6;No;WPA2,AES-CCM;No;54.0;0;0;0;0;0;0;0;;;Mon Dec 17 22:20:15 2018;Mon Dec 17 22:21:00 2018;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
23;infrastructure;FPT_University;1C:E6:C7:DC:63:00;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:46 2018;Mon Dec 17 22:20:46 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
24;infrastructure;FU_Service;1C:E6:C7:DC:63:02;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:46 2018;Mon Dec 17 22:20:46 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
25;infrastructure;TheSinhTourist-51B-143.29;48:50:73:EC:AF:E2;;11;No;WPA2,AES-CCM;No;54.0;0;4;0;0;0;0;0;;;Mon Dec 17 22:20:14 2018;Mon Dec 17 22:20:46 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
26;infrastructure;FPTU_Laboratory;1C:E6:C7:DC:63:05;;11;No;WPA2,AES-CCM;No;54.0;0;1;0;0;0;0;0;;;Mon Dec 17 22:20:46 2018;Mon Dec 17 22:20:46 2018;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
